模块,位置描述,涉及版本,zh-CN 简体中文（中国大陆）,zh-TW 繁体中文（中国台湾）,en-US 英文（美国）,vi-VN 越南语（越南）,ar-SA 阿拉伯语（沙特阿拉伯）,es-ES 西班牙语（西班牙）,pt-BR 葡萄牙语（巴西）,fr-FR 法语（法国）,ja-JP 日语（日本）,ko-KR 韩语（韩国）,ur-PK 乌尔都语（巴基斯坦）,id-ID 印尼语（印度尼西亚）,hi-IN 印地语（印度）,ru-RU 俄语（俄罗斯）,tr-TR 土耳其语（土耳其）,使用场景/注意事项
任务/积分/福利,创作者周赛规则 - 同分优先级,,总分相同时，按以下顺序优先：有效新用户更多、直播时长更长、更早达到该同分。,總分相同時，按以下順序優先：有效新用戶更多、直播時長更長、更早達到該同分。,"For tied total scores, priority is given in this order: more valid new users, longer live duration, earlier time reaching the tied score.","Khi tổng điểm hòa, ưu tiên theo thứ tự: nhiều người dùng mới hợp lệ hơn, thời lượng live dài hơn, đạt điểm hòa sớm hơn.",عند تساوي النتائج الإجمالية، تُمنح الأولوية بهذا الترتيب: عدد أكبر من المستخدمين الجدد المؤهلين، ثم مدة بث أطول، ثم الوصول أبكر إلى النتيجة المتعادلة.,"En puntuaciones totales empatadas, la prioridad es: más usuarios nuevos válidos, mayor duración en directo, alcanzar antes la puntuación empatada.","Em empate de pontuação total, a prioridade é: mais novos usuários válidos, maior duração de live, atingir antes a pontuação empatada.","En cas d’égalité de score total, la priorité est : plus de nouveaux utilisateurs valides, durée de live plus longue, atteinte plus tôt du score égalisé.",合計スコア同点の場合、優先順位は次のとおり：有効な新規ユーザーが多い、配信時間が長い、同点到達が早い。,"총점 동점 시 우선순위: 유효 신규 사용자 더 많음, 라이브 시간 더 김, 동점 점수에 더 먼저 도달.",کل اسکور برابر ہونے پر ترجیح اس ترتیب سے: زیادہ مؤثر نئے صارفین، طویل لائیو مدت، برابر اسکور پر پہلے پہنچنا۔,"Jika skor total imbang, prioritas: lebih banyak pengguna baru valid, durasi live lebih lama, lebih dulu mencapai skor imbang.","कुल स्कोर बराबरी पर प्राथमिकता: अधिक वैध नए उपयोगकर्ता, अधिक लाइव अवधि, बराबरी स्कोर पर पहले पहुँचना।","При равном итоге приоритет: больше валидных новых пользователей, дольше эфир, раньше достигнута эта сумма.","Toplam skor berabereyse öncelik sırası: daha fazla geçerli yeni kullanıcı, daha uzun canlı süre, berabere skora daha önce ulaşmak.",创作者周赛活动页文案；同页字段单独落行，不与主播周赛复用行号
任务/积分/福利,创作者周赛规则 - 总分公式,,总分 = 有效新用户 × 100 + 直播分钟数 + 弹幕数,總分 = 有效新用戶 × 100 + 直播分鐘數 + 彈幕數,Total Score = Valid New Users × 100 + Live Minutes + Bullet Chats,Tổng điểm = Người dùng mới hợp lệ × 100 + Phút live + Bình luận,النتيجة الإجمالية = المستخدمون الجدد المؤهلون × 100 + دقائق البث + تعليقات الدردشة,Puntuación total = Nuevos usuarios válidos × 100 + Minutos en directo + Comentarios,Pontuação total = Novos usuários válidos × 100 + Minutos de live + Comentários,Score total = Nouveaux utilisateurs valides × 100 + Minutes de live + Commentaires,合計スコア = 有効な新規ユーザー × 100 + 配信分数 + コメント数,총점 = 유효 신규 사용자 × 100 + 라이브 분 + 채팅 댓글,کل اسکور = مؤثر نئے صارفین × 100 + لائیو منٹ + بلٹ چیٹس,Skor total = Pengguna baru valid × 100 + Menit live + Komentar chat,कुल स्कोर = वैध नए उपयोगकर्ता × 100 + लाइव मिनट + बुलेट चैट,Итоговый счёт = Валидные новые пользователи × 100 + Минуты эфира + Комментарии,Toplam skor = Geçerli yeni kullanıcılar × 100 + Canlı dakika + Sohbet yorumları,创作者周赛活动页文案；同页字段单独落行，不与主播周赛复用行号
任务/积分/福利,反馈表单 - 上传截图,,上传截图,上傳截圖,Upload Screenshots,Tải ảnh chụp màn hình,تحميل لقطات الشاشة,Subir capturas,Enviar capturas de tela,Télécharger des captures,スクリーンショットをアップロード,스크린샷 업로드,اسکرین شاٹس اپ لوڈ کریں,Unggah Tangkapan Layar,स्क्रीनशॉट अपलोड करें,Загрузить скриншоты,Ekran Görüntüleri Yükle,多场景：任务/积分/福利 · 反馈表单 - 上传截图；意见反馈 · 意见反馈 - 上传截图｜展会现场登记-反馈表单文案，需与表单字段、占位符及提交一致｜上传区域标题
任务/积分/福利,反馈表单 - 内容占位,,请在此描述您的问题或建议。,請在此描述您的問題或建議。,Describe your issues or suggestions here.,Mô tả vấn đề hoặc đề xuất của bạn tại đây.,صف مشاكلك أو اقتراحاتك هنا.,Describe aquí tus problemas o sugerencias.,Descreva seus problemas ou sugestões aqui.,Décrivez ici vos problèmes ou suggestions.,ここに問題や提案を入力してください。,여기에 문제나 제안을 입력하세요.,اپنے مسائل یا تجاویز یہاں بیان کریں۔,Jelaskan masalah atau saran Anda di sini.,अपनी समस्याएँ या सुझाव यहाँ लिखें।,Опишите здесь ваши проблемы или предложения.,Sorunlarınızı veya önerilerinizi buraya yazın.,多场景：任务/积分/福利 · 反馈表单 - 内容占位；意见反馈 · 意见反馈 - 内容占位｜展会现场登记-反馈表单文案，需与表单字段、占位符及提交一致｜输入框占位
任务/积分/福利,反馈表单 - 反馈内容,,反馈内容,回饋內容,Feedback Content,Nội dung phản hồi,محتوى الملاحظات,Contenido de comentarios,Conteúdo do feedback,Contenu du commentaire,フィードバック内容,피드백 내용,رائے کا مواد,Konten Masukan,प्रतिक्रिया सामग्री,Содержание отзыва,Geri Bildirim İçeriği,多场景：任务/积分/福利 · 反馈表单 - 反馈内容；意见反馈 · 意见反馈 - 反馈内容｜展会现场登记-反馈表单文案，需与表单字段、占位符及提交一致｜反馈表单字段
任务/积分/福利,反馈表单 - 添加封面图,,添加封面图,新增封面圖,Add Cover Image,Thêm ảnh bìa,إضافة صورة غلاف,Añadir imagen de portada,Adicionar imagem de capa,Ajouter une image de couverture,カバー画像を追加,커버 이미지 추가,کور تصویر شامل کریں,Tambah Gambar Sampul,कवर इमेज जोड़ें,Добавить обложку,Kapak Görseli Ekle,多场景：任务/积分/福利 · 反馈表单 - 添加封面图；意见反馈 · 意见反馈/认证 - 添加封面图｜展会现场登记-反馈表单文案，需与表单字段、占位符及提交一致｜封面图上传；与 orig 67 去重
任务/积分/福利,反馈表单 - 联系方式,,联系方式（选填）,聯絡方式（選填）,Contact (Optional),Liên hệ (Tùy chọn),جهة الاتصال (اختياري),Contacto (opcional),Contato (opcional),Contact (facultatif),連絡先（任意）,연락처 (선택),رابطہ (اختیاری),Kontak (Opsional),संपर्क (वैकल्पिक),Контакт (необязательно),İletişim (İsteğe bağlı),多场景：任务/积分/福利 · 反馈表单 - 联系方式；意见反馈 · 意见反馈 - 联系方式；系统提示/弹窗/权限 · 反馈弹窗 - 联系方式标题｜展会现场登记-反馈表单文案，需与表单字段、占位符及提交一致｜固定页面/链接文案，需检查跳转目标和当前语言是否一致｜可选字段
任务/积分/福利,反馈表单 - 联系方式占位,,邮箱 / Telegram / 电话,電子郵件 / Telegram / 電話,Email / Telegram / Phone.,Email / Telegram / Điện thoại.,البريد الإلكتروني / تيليجرام / الهاتف.,Correo / Telegram / Teléfono.,E-mail / Telegram / Telefone.,E-mail / Telegram / Téléphone.,メール / Telegram / 電話,이메일 / Telegram / 전화,ای میل / ٹیلیگرام / فون,Email / Telegram / Telepon,ईमेल / Telegram / फ़ोन,Email / Telegram / Телефон.,E-posta / Telegram / Telefon.,多场景：任务/积分/福利 · 反馈表单 - 联系方式占位；意见反馈 · 意见反馈 - 联系方式占位｜展会现场登记-反馈表单文案，需与表单字段、占位符及提交一致｜输入提示
任务/积分/福利,反馈表单 - 问题类型,,问题类型,問題類型,Issue Type,Loại vấn đề,نوع المشكلة,Tipo de problema,Tipo de problema,Type de problème,問題の種類,문제 유형,مسئلے کی قسم,Jenis Masalah,समस्या का प्रकार,Тип проблемы,Sorun Türü,多场景：任务/积分/福利 · 反馈表单 - 问题类型；意见反馈 · 意见反馈 - 问题类型｜展会现场登记-反馈表单文案，需与表单字段、占位符及提交一致｜反馈表单字段
任务/积分/福利,反馈表单 - 问题类型占位,,请选择问题类型,請選擇問題類型,Please select the question type,Vui lòng chọn loại câu hỏi,يرجى اختيار نوع السؤال,Selecciona el tipo de pregunta,Selecione o tipo de pergunta,Veuillez sélectionner le type de question,質問タイプを選択してください,질문 유형을 선택하세요,براہ کرم سوال کی قسم منتخب کریں,Pilih jenis pertanyaan,कृपया प्रश्न प्रकार चुनें,Выберите тип вопроса,Lütfen soru türünü seçin,展会现场登记-反馈表单文案，需与表单字段、占位符及提交一致
任务/积分/福利,合作方表单 - 合作类型,,合作类型,合作類型,Cooperation Type,Loại hợp tác,نوع التعاون,Tipo de cooperación,Tipo de cooperação,Type de coopération,協力タイプ,협력 유형,تعاون کی قسم,Jenis kerja sama,सहयोग प्रकार,Тип сотрудничества,İşbirliği türü,展会现场登记-合作方表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 合作类型占位,,例如：流量 / 钱包 / 交易所,例如：流量 / 錢包 / 交易所,e.g. Traffic / Wallet / Exchange,VD: Traffic / Ví / Sàn,مثال: ترافيك / محفظة / منصة,p. ej. Tráfico / Wallet / Exchange,ex.: Tráfego / Carteira / Exchange,ex. : Trafic / Wallet / Exchange,例：トラフィック / ウォレット / 取引所,예: 트래픽 / 지갑 / 거래소,مثال: ٹریفک / والیٹ / ایکسچینج,mis. Traffic / Dompet / Exchange,उदा. ट्रैफ़िक / वॉलेट / एक्सचेंज,напр. Трафик / Кошелёк / Биржа,örn. Trafik / Cüzdan / Borsa,展会现场登记-合作方表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 名称占位,,请输入名称,請輸入名稱,Enter Name,Nhập tên,أدخل الاسم,Introduce el nombre,Digite o nome,Saisir le nom,名前を入力,이름 입력,نام درج کریں,Masukkan nama,नाम दर्ज करें,Введите название,Adı girin,展会现场登记-合作方表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 机构/项目名称,,机构/项目名称,機構/專案名稱,Org/Project Name,Tên tổ chức/dự án,اسم المؤسسة/المشروع,Nombre de org./proyecto,Nome da org./projeto,Nom org./projet,組織/プロジェクト名,기관/프로젝트명,ادارہ/پروجیکٹ کا نام,Nama Org/Proyek,संगठन/प्रोजेक्ट नाम,Название орг./проекта,Kurum/Proje adı,展会现场登记-合作方表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 联系人,,联系人,聯絡人,Contact,Liên hệ,جهة الاتصال,Contacto,Contato,Contact,連絡先,연락처,رابطہ,Kontak,संपर्क,Контакт,İletişim,多场景：任务/积分/福利 · 合作方表单 - 联系人；任务/积分/福利 · 媒体登记表单 - 联系人｜展会现场登记-合作方表单文案，需与表单字段、占位符一致｜展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 联系人姓名,,联系人姓名,聯絡人姓名,Contact Name,Tên người liên hệ,اسم جهة الاتصال,Nombre de contacto,Nome do contato,Nom du contact,担当者名,담당자 이름,رابطہ شخص کا نام,Nama kontak,संपर्क व्यक्ति का नाम,Имя контакта,İlgili kişi adı,多场景：任务/积分/福利 · 合作方表单 - 联系人姓名；任务/积分/福利 · 媒体登记表单 - 联系人姓名｜展会现场登记-合作方表单文案，需与表单字段、占位符一致｜展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 联系方式,,联系方式,聯絡方式,Contact Info,Thông tin liên hệ,معلومات الاتصال,Datos de contacto,Info de contato,Coordonnées,連絡先情報,연락처 정보,رابطہ کی معلومات,Info kontak,संपर्क जानकारी,Контактные данные,İletişim bilgisi,多场景：任务/积分/福利 · 合作方表单 - 联系方式；任务/积分/福利 · 媒体登记表单 - 联系方式｜展会现场登记-合作方表单文案，需与表单字段、占位符一致｜展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 联系方式占位,,Telegram / 邮箱 / 电话,Telegram / 信箱 / 電話,Telegram / Email / Phone,Telegram / Email / Điện thoại,Telegram / البريد / الهاتف,Telegram / Email / Teléfono,Telegram / E-mail / Telefone,Telegram / E-mail / Téléphone,Telegram / Email / 電話,Telegram / Email / 전화,Telegram / ای میل / فون,Telegram / Email / Telepon,Telegram / ईमेल / फ़ोन,Telegram / Email / Телефон,Telegram / E-posta / Telefon,展会现场登记-合作方表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 资源介绍,,资源介绍,資源介紹,Resource Intro,Giới thiệu tài nguyên,مقدمة الموارد,Introducción de recursos,Introdução de recursos,Présentation des ressources,リソース紹介,리소스 소개,وسائل کا تعارف,Pengantar sumber daya,संसाधन परिचय,Описание ресурсов,Kaynak tanıtımı,展会现场登记-合作方表单文案，需与表单字段、占位符一致
任务/积分/福利,合作方表单 - 资源介绍占位,,请简要描述可合作资源,請簡要描述可合作資源,Briefly describe available cooperative resources,Mô tả ngắn gọn các nguồn lực hợp tác khả dụng,صف بإيجاز الموارد التعاونية المتاحة,Describe brevemente los recursos de cooperación disponibles,Descreva brevemente os recursos de cooperação disponíveis,Décrivez brièvement les ressources de coopération disponibles,提供可能な協力リソースを簡潔に説明してください,협력 가능한 리소스를 간략히 설명해 주세요,دستیاب تعاونی وسائل مختصراً بیان کریں,Jelaskan singkat sumber daya kerja sama yang tersedia,उपलब्ध सहकारी संसाधनों का संक्षेप में वर्णन करें,Кратко опишите доступные ресурсы для сотрудничества,Mevcut işbirliği kaynaklarını kısaca açıklayın,展会现场登记-合作方表单文案，需与表单字段、占位符一致
任务/积分/福利,媒体登记表单 - 媒体/栏目名称,,媒体/栏目名称,媒體/欄目名稱,Media / Column Name,Tên media / chuyên mục,اسم الوسيلة / العمود,Nombre de medio / columna,Nome da mídia / coluna,Nom du média / rubrique,メディア/コーナー名,미디어/칼럼명,میڈیا / کالم کا نام,Nama media / kolom,मीडिया / कॉलम नाम,Название медиа / рубрики,Medya / köşe adı,展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,媒体登记表单 - 媒体名称,,媒体名称,媒體名稱,Media Name,Tên media,اسم الوسيلة,Nombre del medio,Nome da mídia,Nom du média,メディア名,미디어명,میڈیا کا نام,Nama media,मीडिया नाम,Название медиа,Medya adı,展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,媒体登记表单 - 感兴趣领域,,感兴趣领域,感興趣領域,Areas of Interest,Lĩnh vực quan tâm,مجالات الاهتمام,Áreas de interés,Áreas de interesse,Domaines d’intérêt,関心分野,관심 분야,دلچسپی کے شعبے,Bidang minat,रुचि क्षेत्र,Области интересов,İlgi alanları,展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,媒体登记表单 - 报道方向,,报道方向,報導方向,Reporting Focus,Hướng đưa tin,محور التغطية,Enfoque de cobertura,Foco de reportagem,Angle de couverture,報道フォーカス,보도 초점,رپورٹنگ فوکس,Fokus liputan,रिपोर्टिंग फोकस,Фокус освещения,Haber odağı,展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,媒体登记表单 - 采访与合作需求,,采访与合作需求,採訪與合作需求,Interview & Cooperation Requests,Yêu cầu phỏng vấn & hợp tác,طلبات المقابلة والتعاون,Solicitudes de entrevista y cooperación,Pedidos de entrevista e cooperação,Demandes d’interview et de coopération,取材・協力リクエスト,인터뷰 및 협력 요청,انٹرویو اور تعاون کی درخواستیں,Permintaan wawancara & kerja sama,साक्षात्कार और सहयोग अनुरोध,Запросы на интервью и сотрудничество,Röportaj ve işbirliği talepleri,展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,媒体登记表单 - 需求描述占位,,请描述您的需求,請描述您的需求,Describe your requirements,Mô tả yêu cầu của bạn,صف متطلباتك,Describe tus requisitos,Descreva seus requisitos,Décrivez vos besoins,ご要望を記入してください,요청 사항을 설명해 주세요,اپنی ضروریات بیان کریں,Jelaskan kebutuhan Anda,अपनी आवश्यकताएँ बताएं,Опишите ваши требования,Gereksinimlerinizi açıklayın,展会现场登记-媒体登记表单文案，需与表单字段、占位符一致
任务/积分/福利,展会现场登记 - 副标题,,现场合作 · 媒体 · 反馈,現場合作 · 媒體 · 反饋,On-site Cooperation · Media · Feedback,Hợp tác tại chỗ · Truyền thông · Phản hồi,التعاون في الموقع · الإعلام · الملاحظات,Cooperación presencial · Medios · Comentarios,Cooperação no local · Mídia · Feedback,Coopération sur site · Médias · Retours,現地協力 · メディア · フィードバック,현장 협력 · 미디어 · 피드백,آن سائٹ تعاون · میڈیا · فیڈبیک,Kerja sama di lokasi · Media · Masukan,ऑन-साइट सहयोग · मीडिया · प्रतिक्रिया,Сотрудничество на месте · СМИ · Обратная связь,Yerinde iş birliği · Medya · Geri bildirim,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 反馈,,意见反馈,意見回饋,Feedback,Phản hồi,الملاحظات,Comentarios,Feedback,Retours,フィードバック,피드백,فیڈبیک,Masukan,प्रतिक्रिया,Обратная связь,Geri bildirim,展会现场登记页字段；与全站「反馈」分行维护
任务/积分/福利,展会现场登记 - 反馈说明,,产品建议、缺陷反馈与活动体验反馈,產品建議、缺陷回饋與活動體驗回饋,"Product suggestions, bug reports and event experience feedback","Góp ý sản phẩm, báo lỗi và phản hồi trải nghiệm sự kiện",اقتراحات المنتج وتقارير الأخطاء وملاحظات تجربة الفعالية,"Sugerencias de producto, informes de errores y comentarios sobre la experiencia del evento","Sugestões de produto, relatos de bugs e feedback da experiência do evento","Suggestions produit, signalements de bugs et retours d’expérience événement",プロダクト提案、不具合報告、イベント体験フィードバック,"제품 제안, 버그 제보 및 이벤트 경험 피드백",پروڈکٹ تجاویز، بگ رپورٹس اور ایونٹ تجربے کی فیڈبیک,"Saran produk, laporan bug, dan masukan pengalaman acara","उत्पाद सुझाव, बग रिपोर्ट और इवेंट अनुभव प्रतिक्रिया","Предложения по продукту, сообщения об ошибках и отзывы об опыте события","Ürün önerileri, hata bildirimleri ve etkinlik deneyimi geri bildirimi",展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 合作意向说明,,合作意向：项目 / 钱包 / 交易所,合作意向：專案 / 錢包 / 交易所,Cooperation Intention: Projects / Wallets / Exchanges,Ý định hợp tác: Dự án / Ví / Sàn giao dịch,نية التعاون: مشاريع / محافظ / بورصات,Intención de cooperación: Proyectos / Carteras / Exchanges,Intenção de cooperação: Projetos / Carteiras / Exchanges,Intention de coopération : Projets / Portefeuilles / Exchanges,協力意向：プロジェクト / ウォレット / 取引所,협력 의향: 프로젝트 / 지갑 / 거래소,تعاون کی نیت: پروجیکٹس / والیٹس / ایکسچینجز,Niat kerja sama: Proyek / Dompet / Exchange,सहयोग आशय: प्रोजेक्ट / वॉलेट / एक्सचेंज,Намерение о сотрудничестве: Проекты / Кошельки / Биржи,İş birliği niyeti: Projeler / Cüzdanlar / Borsalar,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 合作方,,合作方,合作方,Partner,Đối tác,شريك,Socio,Parceiro,Partenaire,パートナー,파트너,پارٹنر,Mitra,पार्टनर,Партнёр,İş ortağı,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 填写意向表,,填写意向表,填寫意向表,Fill Interest Form,Điền biểu mẫu quan tâm,املأ نموذج الاهتمام,Completar formulario de interés,Preencher formulário de interesse,Remplir le formulaire d’intérêt,意向フォームに記入,관심 양식 작성,دلچسپی فارم بھریں,Isi formulir minat,रुचि फ़ॉर्म भरें,Заполнить форму интереса,İlgi formunu doldur,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 媒体登记,,媒体登记,媒體登記,Media Registration,Đăng ký truyền thông,تسجيل الإعلام,Registro de medios,Cadastro de mídia,Inscription médias,メディア登録,미디어 등록,میڈیا رجسٹریشن,Registrasi media,मीडिया पंजीकरण,Регистрация СМИ,Medya kaydı,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 媒体登记说明,,采访、报道与内容合作需求,採訪、報導與內容合作需求,"Interview, Reporting & Content Cooperation Requests","Yêu cầu phỏng vấn, đưa tin và hợp tác nội dung",طلبات المقابلات والتقارير والتعاون في المحتوى,"Solicitudes de entrevista, cobertura y cooperación de contenido","Pedidos de entrevista, reportagem e cooperação de conteúdo","Demandes d’interview, de reportage et de coopération contenu",取材・報道・コンテンツ協力のご要望,인터뷰·보도·콘텐츠 협력 요청,انٹرویو، رپورٹنگ اور مواد تعاون کی درخواستیں,"Permintaan wawancara, liputan & kerja sama konten","साक्षात्कार, रिपोर्टिंग और सामग्री सहयोग अनुरोध","Запросы на интервью, репортажи и контент-сотрудничество","Röportaj, haber ve içerik iş birliği talepleri",展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 提交反馈,,提交反馈,提交回饋,Submit Feedback,Gửi phản hồi,إرسال الملاحظات,Enviar comentarios,Enviar feedback,Envoyer le retour,フィードバックを送信,피드백 제출,فیڈبیک جمع کروائیں,Kirim masukan,प्रतिक्रिया जमा करें,Отправить отзыв,Geri bildirimi gönder,多场景：任务/积分/福利 · 展会现场登记 - 提交反馈；意见反馈 · 意见反馈 - 提交按钮；系统提示/弹窗/权限 · 反馈弹窗 - 提交按钮｜展会现场登记页字段；与意见反馈弹窗「提交反馈」分行维护｜固定页面/链接文案，需检查跳转目标和当前语言是否一致｜提交反馈
任务/积分/福利,展会现场登记 - 提交合作意向,,提交合作意向,提交合作意向,Submit Cooperation Intention,Gửi ý định hợp tác,إرسال نية التعاون,Enviar intención de cooperación,Enviar intenção de cooperação,Soumettre l’intention de coopération,協力意向を送信,협력 의향 제출,تعاون کی نیت جمع کروائیں,Kirim niat kerja sama,सहयोग आशय जमा करें,Отправить намерение о сотрудничестве,İş birliği niyetini gönder,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 提交媒体信息,,提交媒体信息,提交媒體資訊,Submit Media Information,Gửi thông tin truyền thông,إرسال معلومات الإعلام,Enviar información de medios,Enviar informações de mídia,Soumettre les informations médias,メディア情報を送信,미디어 정보 제출,میڈیا معلومات جمع کروائیں,Kirim informasi media,मीडिया जानकारी जमा करें,Отправить информацию СМИ,Medya bilgilerini gönder,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 标题,,展会现场登记,展會現場登記,On-site Registration,Đăng ký tại chỗ,التسجيل في الموقع,Registro presencial,Cadastro no local,Inscription sur site,現地登録,현장 등록,آن سائٹ رجسٹریشن,Registrasi di lokasi,ऑन-साइट पंजीकरण,Регистрация на месте,Yerinde kayıt,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 潜在KOL,,潜在KOL,潛在KOL,Potential KOLs,KOL tiềm năng,مؤثرو رأي محتملون,KOLs potenciales,KOLs potenciais,KOLs potentiels,潜在KOL,잠재 KOL,ممکنہ KOLs,KOL potensial,संभावित KOL,Потенциальные KOL,Potansiyel KOL’ler,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,展会现场登记 - 潜在KOL说明,,对产品感兴趣，希望进一步了解,對產品感興趣，希望進一步了解,Interested in the product and eager to learn more,Quan tâm sản phẩm và muốn tìm hiểu thêm,مهتم بالمنتج ومتشوق لمعرفة المزيد,Interesado en el producto y con ganas de saber más,Interessado no produto e ansioso para saber mais,Intéressé par le produit et désireux d’en savoir plus,プロダクトに関心があり、詳しく知りたい,제품에 관심이 있고 더 알고 싶어합니다,پروڈکٹ میں دلچسپی اور مزید جاننے کے خواہشمند,Tertarik pada produk dan ingin tahu lebih lanjut,उत्पाद में रुचि और और जानने के इच्छुक,Интересуются продуктом и хотят узнать больше,Ürünle ilgileniyor ve daha fazla öğrenmek istiyor,展会现场登记页文案，需与合作/媒体/反馈入口及表单提交流程一致
任务/积分/福利,活动中心 - OnCoin 展会嘉年华,,OnCoin 展会嘉年华,OnCoin 展會嘉年華,OnCoin Expo Carnival,Lễ hội Expo OnCoin,كرنفال معرض OnCoin,Carnaval Expo OnCoin,Carnaval Expo OnCoin,Carnaval Expo OnCoin,OnCoin エキスポカーニバル,OnCoin 엑스포 카니발,OnCoin ایکسپو کارنیول,Karnaval Expo OnCoin,OnCoin एक्सपो कार्निवल,Карнавал Expo OnCoin,OnCoin Expo Karnavalı,展会嘉年华/活动中心文案，需与活动周期、状态标签及入口跳转一致
任务/积分/福利,活动中心 - 主播周赛奖池,,主播周赛奖池,主播週賽獎池,Streamer Weekly Contest Prize Pool,Quỹ thưởng cuộc thi streamer hàng tuần,جائزة مسابقة مقدّم البث الأسبوعية,Bolsa del concurso semanal de streamers,Bolsa do concurso semanal de streamers,Cagnotte du concours hebdo streamer,配信者週次コンテスト賞池,스트리머 주간 대회 상금풀,سٹریمر ہفتہ وار مقابلہ انعامی پول,Pool hadiah kontes mingguan streamer,स्ट्रीमर साप्ताहिक प्रतियोगिता पुरस्कार पूल,Призовой фонд еженедельного конкурса стримеров,Yayıncı haftalık yarışma ödül havuzu,展会嘉年华/活动中心文案，需与活动周期、状态标签及入口跳转一致
任务/积分/福利,活动中心 - 创作者周赛奖池,,创作者周赛奖池,創作者週賽獎池,Weekly Creator Prize Pool,Quỹ thưởng người sáng tạo hàng tuần,جائزة المبدعين الأسبوعية,Bolsa semanal de creadores,Bolsa semanal de criadores,Cagnotte hebdo des créateurs,クリエイター週次賞池,크리에이터 주간 상금풀,ہفتہ وار کریئیٹر انعامی پول,Pool hadiah kreator mingguan,साप्ताहिक क्रिएटर पुरस्कार पूल,Еженедельный призовой фонд авторов,Haftalık içerik üreticisi ödül havuzu,展会嘉年华/活动中心文案，需与活动周期、状态标签及入口跳转一致
任务/积分/福利,活动中心 - 奖励,,奖励,獎勵,Rewards,Phần thưởng,المكافآت,Recompensas,Recompensas,Récompenses,リワード,리워드,انعامات,Hadiah,पुरस्कार,Награды,Ödüller,展会嘉年华/活动中心文案，需与活动周期、状态标签及入口跳转一致
任务/积分/福利,活动中心 - 奖励汇总说明,,奖励汇总・邀请成效 | 可分享,獎勵彙總・邀請成效 | 可分享,Reward Summary・Referral Performance | Shareable,Tóm tắt thưởng・Hiệu quả giới thiệu | Có thể chia sẻ,ملخص المكافآت・أداء الدعوة | قابل للمشاركة,Resumen de recompensas・Rendimiento de referidos | Compartible,Resumo de recompensas・Desempenho de indicação | Compartilhável,Résumé des récompenses・Performance de parrainage | Partageable,リワード概要・招待実績 | 共有可能,리워드 요약・추천 성과 | 공유 가능,انعام کا خلاصہ・ریفرل کارکردگی | قابلِ شیئر,Ringkasan hadiah・Performa referral | Dapat dibagikan,पुरस्कार सारांश・रेफरल प्रदर्शन | साझा करने योग्य,Сводка наград・Реферальная эффективность | Можно поделиться,Ödül özeti・Davet performansı | Paylaşılabilir,英文 UI 原文 “eward Summary” 按 Reward Summary 校正落表
